og_representation,mapping,confusion,frequency,example
जिखनगॉव,Jikhangaon,,1,जिखनगॉव
झुड़ावई,Jhudavaee,y,1,झुड़ावई
झींगुरपुरा,Jhingurpura,,1,झींगुरपुरा
झीगुरपुरा,Jhigurpura,,1,झीगुरपुरा
झीटपुरा,Jheetpura,,2,झीटपुरा
झारोठी,Jharothi,,4,झारोठी
झरौठा,Jharautha,,8,"अरतौनी, विरौना, झरौठा"
झपरा,Jhapra,,1,झपरा
झडावई,Jhadavai,y,1,झडावई
जेसवां,Jesva,y,1,जेसवां
जेबरा,Jebra,,3,जेबरा
जवाहरपुरम,Jawaharpuram,,1,जवाहरपुरम
जवाहरपुर,Jawaharpur,,1,जवाहरपुर
जावली,Javli,,3,जावली
जाव,Jav,,6,जाव
जऊपुरा,Jaupura,,1,जऊपुरा
जौनई,Jaunai,y,5,जौनई
जौनाई,Jaunai,y,1,जौनाई
जौधपुर,Jaudhpur,y,1,जौधपुर
जटवारी,Jatvari,,7,जटवारी
जाटवान,Jatvan,,15,जाटवान
जटपुरा,Jatpura,,3,"इब्राहीमपुर, इब्राहीमपुर, शल्ल, शल्ल, जटपुरा"
जतीपुरा,Jatipura,,4,गोपालधाम क ालौनी (जतीपुरा)
जटौरा,Jataura,,10,जटौरा
जारौली,Jarauli,,2,जारौली
जरारी,Jarari,,7,जरारी
जरारा,Jarara,,2,जरारा
जरार,Jarar,,3,जरार
जनूथा,Janutha,,15,जनूथा
जानू,Janu,,1,जानू
जनरा,Janra,,1,जनरा
जंगलकटटी,Jangalkatti,,1,जंगलकटटी
जनकपुरी,Janakpuri,,1,जनकपुरी
जमुनीपुर,Jamunipur,,1,जमुनीपुर
जमुनावता,Jamunavata,,2,जमुनावता
जमुनाबिहार,Jamuna bihar,,1,जमुनाबिहार
जामपुर,Jampur,,1,जामपुर
जमालपुर,Jamalpur,,9,जमालपुर
जलालपुर,Jalalpur,,6,"जमालपुर, जलालपुर, जलालपुर"
जलाल,Jalal,,1,"जमालपुर, जलालपुर, जलालपुर"
जखौदा,Jakhauda,,3,जखौदा
जखा,Jakha,,1,जखा
जाजोली,Jajoli,,10,जाजोली
जाजऊ,Jajau,,21,"कौरई, जाजऊ"
जैतपुर,Jaitpur,,5,जैतपुर
जैत,Jait,,2,छरौरा ग्राम की प्रारम्भिक सीमा से जैत ग्राम की अन्तिम सीमा तक
जैसवां,Jaisva,y,1,जैसवां
जैंगारा,Jaingara,,1,जैंगारा
जैनगंज,Jainganj,,1,जैनगंज
जैगारा,Jaigara,,17,"अखवाई, जैगारा"
जहानपुर,Jahanpur,,3,जहानपुर
जगतिया,Jagtiya,,16,"इटौली, जगतिया"
जगराजपुर,Jagrajpur,,3,जगराजपुर
जगन्नाथुरी,Jagnnathuri,,1,जगन्नाथुरी
जगन्नाथपुरी,Jagnnathpuri,,1,जगन्नाथपुरी
जगनेर,Jagner,,58,अजीजपुर ( जगनेर रोड से अजीजपुर जाने वाली रोड से विद्युत उपखण्ड तक)
जगदीशपुरा,Jagdishpura,,2,जगदीशपुरा
जगदीशपुर,Jagdishpur,,4,"खानपुर, खानपुर, जगदीशपुर"
जगनपुरबेला,Jaganpurbela,,1,जगनपुरबेला
जगनपुर,Jaganpur,,7,जगनपुर
जाफरनगर,Jafar nagar,,1,जाफरनगर
जादौपुर,Jadaupur,,8,"आगई, जादौपुर, पटलौनी"
जचौंदा,Jachaunda,,1,जचौंदा
जचौदा,Jachauda,,1,जचौदा
जाबरा,Jabra,,1,जाबरा
जाब,Jab,,1,कैमारा पंजाबी कालाैनी
इव्राहीमपुर,Ivrahimpur,,3,इव्राहीमपुर
इटौरा,Itaura,,17,इटौरा
इटौली,Itauli,y,27,"अचरू लधौरा, अचरू लधौरा, इटौली, भैंसारा"
इटाइली,Itaily,y,1,इटाइली
इस्लामपुर,Islampur,,3,इस्लामपुर
इस्लामगंज,Islamganj,,1,इस्लामगंज
इसौली,Isauli,,3,इसौली
इरादतनगर,Iradat nagar,,8,इरादतनगर
इन्रद्रपुरी,Inradrapuri,,1,इन्रद्रपुरी
इन्दूपुरम,Indupuram,,1,इन्दूपुरम
इन्द्रवुरी,Indravuri,,1,इन्द्रवुरी
इन्द्रपुरी,Indrapuri,,1,इन्द्रपुरी
इन्द्रापुरम,Indrapuram,,1,इन्द्रापुरम
इन्द्राइनी,Indraini,y,1,इन्द्राइनी
इनायतपुर,Inayatpur,,1,इनायतपुर
इमलावदा,Imlavada,,2,इमलावदा
इकथरा,Ikthara,,1,इकथरा
इकरामनगर,Ikram nagar,,1,इकरामनगर
ईखू,Ikhu,y,1,ईखू
इकदन्ता,Ikdanta,,1,इकदन्ता
ईदगाह,Idgah,,16,ईदगाह
ईदौन,Idaun,,2,ईदौन
इब्राहीमपुर,Ibrahimpur,,4,इब्राहीमपुर
इब्राहिमपुर,Ibrahimpur,,1,इब्राहिमपुर
हुसैनपुरा,Husainpura,,1,हुसैनपुरा
हुसैनी,Husaini,,21,गढ़ी हुसैनी
हुलवाना,Hulvana,,10,हुलवाना
होलीपुरा,Holipura,,1,होलीपुरा
हेालीप्रजापति,Holi prajapati,y,1,हेालीप्रजापति
हिरोडा,Hiroda,,1,हिरोडा
हिरौंडा,Hiraunda,,1,हिरौंडा
हिरौडा,Hirauda,,10,"जाजऊ, हिरौडा"
हिम्मतपुरा,Himmatpura,,1,हिम्मतपुरा
हयातपुर,Hayatpur,,15,"नगला मीर बुलाकी, रावल बांगर, हयातपुर"
हतकान्त,Hatkant,,1,हतकान्त
हथकोली,Hathkoli,,13,"किलौनी, वनारसीपुर, हथकोली"
हाथिया,Hathiya,,6,हाथिया
हतावली,Hatavali,,2,"महुअन, हतावली"
हतौड़ा,Hatauda,,6,"अकौस बांगर, अकौस बांगर, हतौड़ा"
हताना,Hatana,,17,हताना
हस्तिनापुरी,Hastinapuri,,1,हस्तिनापुरी
हसनाबाद,Hasnabad,,3,मौहसनाबाद
हसेला,Hasela,,5,"गढीमा, हसेला"
हसनपुरा,Hasanpura,,1,हसनपुरा
हसनपुर,Hasanpur,,16,"गोठा, हसनपुर"
हसनजहॉपुर,Hasanjahopur,y,1,हसनजहॉपुर
हरनौल,Harnaul,,2,"सिर्रेला, हरनौल"
हरनाथिया,Harnathiya,,1,हरनाथिया
हरिजन,Harijan,,9,मौहल्ला हरिजन/जाटवान
हरीपुरा,Hari pura,,1,हरीपुरा
हरीनगर,Hari nagar,,2,हरीनगर
हरेकृष्‍णाधाम,Hare krishnadham,,2,हरेकृष्‍णाधाम
हरेकृष्णाधाम,Hare krishna dham,y,1,हरेकृष्णाधाम
हरदेवगंज,Hardevganj,,1,हरदेवगंज
हनुमानबाग,Hanumanbag,,1,हनुमानबाग
हंसपुरा,Hanspura,,7,"दुल्हारा, हंसपुरा"
हमजापुर,Hamjapur,,1,हमजापुर
हालनगंज,Halanganj,,1,हालनगंज
हकीमपुर,Hakeempur,,1,हकीमपुर
हज्जूपुरा,Hajjupura,,1,हज्जूपुरा
हाजीपुर,Hajipur,,2,हाजीपुर
हजारपुरा,Hajarpura,,1,हजारपुरा
हजारा,Hajara,,1,हजारा
हाबूडा,Habuda,,2,हाबूडा
ग्यासपुरा,Gyaspura,,1,ग्यासपुरा
गुतिला,Gutila,,1,गुतिला
गुसाई,Gusai,y,1,गली गुसाईयान
गुरूसगंज,Gurusaganj,,1,गुरूसगंज
गूरूसगंज,Gurusaganj,,1,गूरूसगंज
गुँगावली,Gungavali,,1,गुँगावली
गुंगावद,Gungavad,,5,गुंगावद
गुम्मट,Gummat,,3,गुम्मट
गुलशनावाद,Gulshanavad,,3,गुलशनावाद
गुलावगंज,Gulavganj,,3,गुलावगंज
गूजरपुरा,Gujarpura,,6,गूजरपुरा
गूजरघाटी,Gujarghati,,1,गूजरघाटी
गुगाबंद,Gugaband,,1,गुगाबंद
गुढा,Gudha,,7,"अभैदोपुरा, गुढा"
गुढ़ा,Gudha,,3,गुढ़ा
गुड़ेरा,Gudera,,10,"अनौड़ा, गुड़ेरा"
गुद्दरसौर,Guddarsaur,,2,गुद्दरसौर
गुबरौठ,Gubrauth,,1,गुबरौठ
गुबरारी,Gubrari,,6,गुबरारी
गोविन्दपुर,Govindpur,,2,गोविन्दपुर
गोविन्दगंज,Govindganj,,2,गोविन्दगंज
गोविन्‍दबाग,Govindbag,,1,गोविन्‍दबाग
गोविन्दपुरी,Govind puri,,2,गोविन्दपुरी
गोठरा,Gothara,,3,गोठरा
गोठा,Gotha,,11,"अरतौनी, गोठा"
गोसिली,Gosili,,3,गोसिली
गोरऊ,Gorau,,12,गोरऊ
गोरखपुरी,Gorakhpuri,,1,गोरखपुरी
गोरा,Gora,,5,गोरा
गोपनन्दा,Gopnanda,,1,गोपनन्दा
गोपनन्‍दा,Gopnanda,,1,गोपनन्‍दा
गोपीनाथबाग,Gopinath bag,,1,गोपीनाथबाग
गोपेश्‍वर,Gopeshvar,,2,गोपेश्‍वर
गोपेश्वर,Gopeshravar,y,4,गोपेश्वर
गोपऊ,Gopau,,20,"अभुआपुरा T.A.बाहर, गोपऊ"
गोपालपुरम,Gopalpuram,,2,गोपालपुरम
गोपालपुरा,Gopalpura,,2,गोपालपुरा
गोपालपुर,Gopalpur,,2,गोपालपुर
गोपालकुंज,Gopalkunj,,1,गोपालकुंज
गोमतीकुण्ड,Gomtikund,,1,गोमतीकुण्ड
गोलपाडा,Golpada,,1,गोलपाडा
गोकुलपुरा,Gokulpura,,3,गोकुलपुरा
गोकुलपुर,Gokulpur,,1,गोकुलपुर
गोकुलधाम,Gokuldham,,3,गोकुलधाम
गोहरा,Gohra,,1,गोहरा
गोबरा,Gobra,,5,गोबरा
गिरवरधाम,Girvardham,,1,गिरवरधाम
गिर्राजछाया,Girrajchaya,,1,गिर्राजछाया
गिरधरपुर,Girdharpur,,3,गिरधरपुर
गिदरौन,Gidraun,,1,गिदरौन
गिडोह,Gidoh,,10,गिडोह
घुसियाना,Ghusiyana,,16,"अटा, घुसियाना"
घोरोली,Ghoroli,,9,"उत्तू, घोरोली"
घोघई,Ghogai,,1,घोघई
घिलोय,Ghiloy,,4,"कराही, घिलोय"
घटियागोकुलपुरा,Ghatiya gokulpura,,1,घटियागोकुलपुरा
घसकटा,Ghaskata,,4,"गढ़ी करीमपुर, घसकटा"
घासीराम,Ghasiram,,2,घासीराम
गांठोली,Ghantholi,,2,गांठोली
घाघपुरा,Ghaghpura,,1,घाघपुरा
जनरलगंज,General ganj,,1,जनरलगंज
गीतापुरम,Geeta puram,,1,गीतापुरम
गौतमपाडा,Gautampada,,1,गौतमपाडा
गौतमनगर,Gautam nagar,,1,गौतमनगर
गौरीकुंज,Gaurikunj,,1,गौरीकुंज
गौंगा,Gaunga,,2,गौंगा
गौहर्रा,Gauharra,,2,गौहर्रा
गौहरपुर,Gauharpur,,1,गौहरपुर
गौहारी,Gauhari,,6,गौहारी
गऊघाट,Gaughat,y,4,गऊघाट
गाठौली,Gathauli,,1,गाठौली
गोसाईयान,Gasaiyan,y,1,गोसाईयान
गणपतिपुरम,Ganpatipuram,,1,गणपतिपुरम
गांजौली,Ganjauli,,1,गांजौली
गंज,Ganj,,29,अहिल्या गंज खादर
गंगरौआ,Gangrauaa,y,1,गंगरौआ
गंगेगोरी,Gangegori,,1,गंगेगोरी
गंगापुरम,Gangapuram,,1,गंगापुरम
गंगाधाम,Gangadham,,2,गंगाधाम
गंगासिटी,Ganga city,y,1,गंगासिटी
गनेशरा,Ganeshara,,1,गनेशरा
गांधीनगर,Gandhinagar,,1,गांधीनगर
गनैशरा,Ganaishara,,1,गनैशरा
गामरी,Gamri,,7,ओम बिहार गामरी
गजू,Gaju,,3,गजू
गजरौरा,Gajraura,,1,गजरौरा
गाजीपुर,Gajipur,,5,गाजीपुर
गजौरा,Gajaura,,3,गजौरा
गाजौली,Gajauli,,1,गाजौली
गैयरा,Gaiyra,,3,गैयरा
गैलाना,Gailana,,2,गैलाना
गगौरा,Gagaura,,3,गगौरा
गडसौली,Gadsauli,,13,गडसौली
गड़सान,Gadsan,,5,गड़सान
गडसान,Gadsan,,1,गडसान
गडरियापाडज्ञ,Gadriyapaddnya,y,1,गडरियापाडज्ञ
गडरियापाडा,Gadriyapada,,1,गडरियापाडा
गडरियान,Gadriyan,,4,कटरा गडरियान
गदपुरा,Gadpura,,1,गदपुरा
गढ़वार,Gadhvar,,1,गढ़वार
गढ़ीभीमा,Gadhubheema,,6,गढ़ीभीमा
गढसानी,Gadhsani,,1,गढसानी
गढसान,Gadhsan,,1,गढसान
गढीमा,Gadhima,,14,गढीमा
गाधीनगर,Gadhi nagar,,1,गाधीनगर
गढी,Gadhi,,27,"अरदाया, गढी चन्द्रमन"
गढैया,Gadhaiya,,1,गढैया
फूलपुर,Fulpur,,6,फूलपुर
फुबबारा,Fubbara,,2,फुबबारा
फुब्बारा,Fubbara,,1,फुब्बारा
फ्रीगंज,Freeganj,,2,फ्रीगंज
फौंडर,Fonder,y,3,फौंडर
फोडर,Fodar,,1,फोडर
फतिहा,Fatiha,,2,फतिहा
फतेहपुरा,Fatehpura,,8,"अर्रूआ खास, फतेहपुरा"
फतेहाबाद,Fatehabad,,3,फतेहाबाद
फतेगंज,Fateganj,,1,फतेगंज
फरैयापुरा,Faraiyapura,,1,फरैयापुरा
फरैरी,Farairi,,1,फरैरी
फरैरा,Faraira,,1,फरैरा
फालैन,Falain,,25,फालैन
फजीयतपुरा,Fajiyatpura,,1,फजीयतपुरा
फैंचरी,Fainchari,,1,फैंचरी
फैचरी,Faichari,,1,फैचरी
ऐंच,Ench,y,1,ऐंच
एमनपुरा,Emanpura,,1,एमनपुरा
एलोरा,Elora,y,3,एलोरा
ज्ञानगुदडी,Dyangudadi,y,1,ज्ञानगुदडी
द्धारिकाधीशधाम,Dwarikadhishdham,,1,द्धारिकाधीशधाम
दुर्गेशपुरी,Durgeshpuri,,1,दुर्गेशपुरी
दुर्गापुरम,Durgapuram,,4,दुर्गापुरम
दुर्गापुरी,Durga puri,,2,दुर्गापुरी
दूरा,Dura,,11,"टीकरी, दूरा, वाजीदपुर, वैमन"
डूँगरवाला,Dungarvala,,9,"कुकण्डई, नगला साँथल, डूँगरवाला"
डूंगरवाला,Dungarvala,,1,डूंगरवाला
दुनैटिया,Dunaitiya,,4,दुनैटिया
दुल्हारा,Dulhara,,6,"औलेन्डा, दुल्हारा"
दोदापुरा,dodapura,,3,दोदापुरा
दियोनारी,Diyonari,,10,दियोनारी
दिवा,Diva,,2,दिवा
डिठवार,Dithvar,,8,"अ़़टूस, डिठवार"
डिरावली,Diravali,,3,डिरावली
दिगनेर,Dinger,,3,दिगनेर
दिलूपट्टी,Dilupatti,,4,आ.का. दिलूपट्टी
दिगरौता,Digrauta,,12,"गोरऊ, गोरऊ, दिगरौता"
डीगगेट,Dig gate,,1,डीगगेट
धौरऊ,Dhorau,y,3,धौरऊ
ढोलीखार,Dholikhar,,1,ढोलीखार
धोबीगली,Dhobigali,,1,धोबीगली
धोबई,Dhobaee,y,1,धोबई
धिमिश्री,Dhimishri,,3,धिमिश्री
धीमरपाडा,Dheemarpada,,1,धीमरपाडा
धायपुरा,Dhaypura,,1,धायपुरा
धौर्रा,Dhaurra,,1,धौर्रा
धौबियान,Dhaubiyan,,1,धौबियान
धर्मसींगा,Dharmsinga,,1,धर्मसींगा
धर्मशाला,Dharmshala,,6,"अग्रवाल धर्मशाला,वर्मा कॉलोनी"
धर्मपुरा,Dharmpura,,1,धर्मपुरा
धरैरा,Dharaira,,5,धरैरा
धनोली,Dhanoli,,19,"अछनेरा (देहात), धनोली"
धनकोट,Dhankot,,1,धनकोट
धनियाँपुरा,Dhaniyapura,,1,धनियाँपुरा
धनगांव,Dhangaon,,1,धनगांव
धनगाँव,Dhangaon,,1,धनगाँव
धनीना,Dhaneena,,7,धनीना
धानावीरान,Dhanaveeran,,1,धानावीरान
धनौली,Dhanauli,,1,धनौली
धानाखेमा,Dhanakhema,,2,धानाखेमा
धानाजीवना,Dhanajeevana,,1,धानाजीवना
धमसीगा,Dhamseega,,11,"खरौट, खरौट, धमसीगा"
धमौटा,Dhamauta,,3,धमौटा
ढकू,Dhaku,,1,ढकू
ढकपुरा,Dhakpura,,1,ढकपुरा
देवतापाडा,Devtapada,,1,देवतापाडा
देवसेरस,Devseras,,1,देवसेरस
देवरी,Devri,,13,कौलक्खा (आगरा देवरी रोड)
देवपुरा,Devpura,,3,देवपुरा
देवलोकपुरी,Devlokpuri,,2,देवलोकपुरी
देवीपुरम,Devipuram,,1,देवीपुरम
देवनगर,Dev nagar,,3,देवनगर
देशलान,Deshlan,,1,देशलान
डेरासरस,Derasaras,,1,डेरासरस
डेरक,Derak,,3,डेरक
दीवाना,Deewana,,1,दीवाना
दीनपुरा,Deenpura,,1,दीनपुरा
दयौरेठा,Dayauretha,,3,दयौरेठा
दयालग्रीन,Dayalagrin,,1,दयालग्रीन
दयालनगर,Dayal nagar,,1,दयालनगर
दयालबाग,Dayal bag,,1,दयालबाग
डावली,Davli,,12,"अभुआपुरा T.A.बाहर, डावली, अभुआपुरा T.A.बाहर"
डावर,Davar,,8,"खेडा जाट, डावर"
दौताना,Dautana,,7,दौताना
दौरेठा,Dauretha,,1,दौरेठा
दौलतपुर,Daulatpur,,29,आर के पुरम क ालौनी (दौलतपुर फरह
दौलतावाद,Daulatavad,,6,"अछनेरा, दौलतावाद, नयावास"
डौकी,Dauki,,3,डौकी
दाऊजीधाम,Daujidham,y,1,दाऊजीधाम
दाऊदपुर,daudpur,y,7,"उत्तू, दाऊदपुर"
दतिया,Datiya,,1,दतिया
दर्जीपाडा,Darjipada,,1,दर्जीपाडा
दाऊद,Daood,y,1,"उत्तू, दाऊदपुर"
दनकशा,Dankasha,,1,दनकशा
डांडरा,Dandara,,1,डांडरा
डाँडा,Danda,y,10,"घुसियाना, डाँडा"
डांडा,Danda,,1,खैरडांडा
दामोदरपुरा,Damodarpura,,3,दामोदरपुरा
दामोदरपुरम,Damodar puram,,1,दामोदरपुरम
दलिहाई,Dalihaee,y,1,दलिहाई
दलौता,Dalauta,,9,"कोसीकलां, दलौता"
दहतोरा,Dahtora,,1,दहतोरा
डहरुआ,Dahruaa,,1,डहरुआ
डहरूआ,Dahruaa,,1,डहरूआ
डाहरौली,Dahroli,,6,डाहरौली
दहगवां,Dahgavan,y,1,दहगवां
दहगवाँ,Dahgava,y,10,दहगवाँ
दहगांव,Dahgaon,y,11,"कामर, कामर, दहगांव, कामर"
डगरूपुरा,Dagrupura,,1,डगरूपुरा
दघेटा,Dagheta,,6,दघेटा
दादूपुरा,Dadupura,,1,दादूपुरा
डडूकरा,Dadukara,,5,डडूकरा
डाडरा,Dadra,,1,डाडरा
डाडकी,Dadki,,1,डाडकी
डडीसरा,Dadisara,,3,डडीसरा
डाढ़की,Dadhki,,13,"छत्तापुरा, डाढ़की"
डाडा,Dada,,1,डाडा
डाबर,Dabur,,1,डाबर
डभाला,Dabhala,,7,डभाला
डबरई,Dabaraee,y,6,डबरई
काम्पलेक्स,Complex,,14,उपाध्याय काम्पलेक्स
चुरमुरा,Churmura,,1,चुरमुरा
चुरियारी,Churiyari,,2,चुरियारी
चूहरा,Chuhra,,1,चूहरा
चूहरपुर,Chuharpur,,3,चूहरपुर
चूराहंसी,Choorahansi,,2,चूराहंसी
चित्राहाट,Chitrahat,,1,चित्राहाट
चितौरा,Chitaura,,3,चितौरा
चिरहौली,Chirhauli,,1,चिरहौली
छीपीटोला,Chipitola,,13,चक्कीपाट ( बिजली घर बस स्टेण्ड से छीपीटोला सांई की तकिया चौराहे तक)
छीपीगली,Chipigali,,1,छीपीगली
चिन्तागढी,Chintagadhi,,1,चिन्तागढी
चिण्डौली,Chindauli,,1,चिण्डौली
चिल्लीपाड़ा,Chillipada,,2,चिल्लीपाड़ा
चीलगढ,Chilgadh,,1,चीलगढ
चिकसौली,Chiksauli,,6,चिकसौली
चीकनीपुरा,Chiknipura,,1,चीकनीपुरा
छिकाड़ा,Chikada,,10,छिकाड़ा
चेतकपुरम,Chetakpuram,,1,चेतकपुरम
चेतकपुर,Chetakpur,,1,चेतकपुर
चेकोरा,Chekora,,13,चेकोरा
चीतपुर,Cheetpur,,11,"कागारौल, चीतपुर"
चीत,Cheet,,14,"कागारौल, चीत"
चावली,Chavli,,3,चावली
चौथईया,Chauthaiya,y,1,चौथईया
चौरंगाहार,Chaurangahar,,3,चौरंगाहार
चौंसिंगी,Chaunsingi,,1,चौंसिंगी
चौमुहाँ,Chaumuha,y,7,चौमुहाँ
चौमाशाहपुर,Chaumashahpur,,1,चौमाशाहपुर
चौमाफरह,Chaumafarah,,2,"अरसैना, चौमाफरह"
छौली,Chauli,,7,"अवैरनी, छौली, बन्दी"
चौकड़ा,Chaukada,,3,चौकड़ा
चौकडा,Chaukada,,1,चौकडा
चौहटना,Chauhatna,,1,चौहटना
चौहरी,Chauhari,,1,चौहरी
चौगान,Chaugan,,1,चौगान
चौधरपाडा,Chaudharpada,,1,चौधरपाडा
चतुर्भुजी,Chaturbhuji,,1,चतुर्भुजी
छत्तापुरा,Chattapura,,3,छत्तापुरा
चटसाल,Chatsal,,1,चटसाल
छटीकरा,Chatikara,,5,छटीकरा
छाता,Chata,,23,छाता
चरीथा,Charitha,,3,चरीथा
चारबाग,Charbag,,1,चारबाग
छरौरा,Charaura,,3,अलवर पुल से छरौरा ग्राम की प्रारम्भिक सीमा तक
छरौंरा,Charaunra,,1,छरौंरा
छ्पेटी,Chapeti,,1,छ्पेटी
छपैटी,Chapaiti,,1,छपैटी
चाणक्यपुरी,Chankyapuri,,1,चाणक्यपुरी
चाँगौली,Changauli,,1,चाँगौली
चन्दसोरा,Chandsora,,1,चन्दसोरा
चन्दसौंरा,Chandsonra,y,1,चन्दसौंरा
चन्द्रसौरा,Chandrasaura,,5,"उदैना, चन्द्रसौरा"
चन्द्रपुरी,Chandrapuri,,1,चन्द्रपुरी
चन्द्रपुर,Chandrapur,,1,चन्द्रपुर
चन्द्रानगर,Chandra nagar,,1,चन्द्रानगर
चन्दोरी,Chandori,,6,चन्दोरी
चाँड़ी,Chandi,y,3,चाँड़ी
चाँडी,Chandi,,1,चाँडी
चंदौरी,Chandauri,,1,चंदौरी
चांचौंद,Chanchaund,y,4,"गुंगावद, चांचौंद"
चमरौली,Chamrauli,,7,चमरौली
चमरौला,Chamraula,,3,चमरौला
चमरौआ,Chamrauaa,y,1,चमरौआ
चमरगढी,Chamargadhi,,1,चमरगढी
छलेसर,Chalesar,,2,छलेसर
चकसावन्त,Chaksavant,,1,चकसावन्त
चकसामन्त,Chaksamant,,1,चकसामन्त
चकलेश्वर,Chakleshravar,y,1,चकलेश्वर
चक्कीपाट,Chakkipat,,2,चक्कीपाट
छाजू,Chaju,,3,छाजू
छगनपुरा,Chaganpura,,1,छगनपुरा
छड़गांव,Chadhgaon,,11,"खेडि़या, छड़गांव, छड़गांव, छड़गांव, छड़गांव"
चाचोंद,Chachond,,1,चाचोंद
ब्यौंही,Byaunhi,,11,"अनौड़ा, ब्यौंही"
ब्यारा,Byara,,2,ब्यारा
बुरहरा,Burhara,,12,"खानपुर, बुरहरा"
बुलाकपुर,Bulakpur,,2,बुलाकपुर
बुखरारी,Bukhrari,,6,बुखरारी
बुढेरा,Budhera,,1,बुढेरा
बुढाना,Budhana,,7,बुढाना
बुढैरा,Budhaira,,1,बुढैरा
बृजधाम,Brujdham,,5,बृजधाम
बृथला,Brithala,,1,बृथला
बृजबिहार,Brij bihar,,1,बृजबिहार
बृह्मनगर,Brihmnagar,,1,बृह्मनगर
ब्रजधाम,Brajdham,,4,ब्रजधाम
ब्रह्रमकुण्‍ड,Brahramkund,y,1,ब्रह्रमकुण्‍ड
ब्रहमपुरी,Brahampuri,,1,ब्रहमपुरी
ब्राहाम्णपुरी,Brahamnpuri,,1,ब्राहाम्णपुरी
ब्रहमकुण्‍ड,Brahamkund,,1,ब्रहमकुण्‍ड
ब्रहमनगर,Braham nagar,,2,ब्रहमनगर
बोरपा,Borpa,,4,बोरपा
बोदला,Bodla,,3,बोदला
बिवाबली,Bivabali,,1,बिवाबली
बीरवल,Birval,,3,बीरवल
बिरूनी,Biruni,,1,बिरूनी
बिरजापुर,Birjapur,,1,बिरजापुर
बिरहना,Birhana,,3,"पीरी, बिरहना"
बिरौना,Birauna,,1,बिरौना
बिन्दुवुलाकी,Binduvulaki,,2,"बाढ़ौन, बिन्दुवुलाकी"
बिन्दुबुलाकी,Bindubulaki,,1,बिन्दुबुलाकी
बिन्दागंज,Bindaganj,,1,बिन्दागंज
बिलौनी,Biloni,,6,बिलौनी
बिल्लोचपुरा,Billochpura,,1,बिल्लोचपुरा
बिल्हैनी,Bilhaini,,1,बिल्हैनी
बिलौठी,Bilauthi,,1,बिलौठी
बिलौडा,Bilauda,,1,बिलौडा
बिलन्दपुर,Bilandpur,,1,बिलन्दपुर
बिजवारी,Bijvari,,1,बिजवारी
बिजकौली,Bijkauli,,1,बिजकौली
बिझामई,Bijhamai,y,1,बिझामई
बिजौली,Bijauli,,6,बिजौली
बिहारीपुरा,Biharipura,,1,बिहारीपुरा
बिहारीपुर,Biharipur,,2,बांकेबिहारीपुरम
बिहारी,Bihari,,22,ओमआनन्द बिहारी क ालौनी (दौलतपुर फ
बिचपुरी,Bichpuri,,10,"खजूरी, बन्शै, बिचपुरी पोलुआ, भोजुआ"
बिचौला,Bichaula,,1,बिचौला
बिबावली,Bibavali,,3,"नीमगांव, पीरी, बिबावली"
भूतेश्र्वर,Bhyteshravar,y,7,एम0आर0 कॉम्पलैक्स (भूतेश्र्वर)
भूतेश्वर,Bhuteshravar,y,1,भूतेश्वर
भूरेका,Bhureka,,1,भूरेका
भूरा,Bhura,,5,दिवा अंश भूरा
भूडासनी,Bhudasni,,1,भूडासनी
भूड़ासानी,Bhudasani,,2,भूड़ासानी
भुडरसू,Bhudarsu,,1,भुडरसू
भुड़रसू,Bhudarsu,,1,भुड़रसू
भूडरी,Bhudari,,1,भूडरी
भूड़री,Bhudari,,1,भूड़री
भूड़ा,Bhuda,,8,भूड़ा
भोपुर,Bhopur,,25,"घुसियाना, नगला दूल्हे खॉ, भोपुर खेरागढ़"
भोनिगापुरा,Bhonigapura,,1,भोनिगापुरा
भोलेधाम,Bholedham,,3,भोलेधाम
भोजुआ,Bhojuaa,y,18,"इटौली, जगतिया, भोजुआ, खजूरी, नौरंगा"
भोजपुरा,Bhojpura,,1,भोजपुरा
भोजपुर,Bhojpur,,7,"चीत, कागारौल, भोजपुर"
भोगीपुरा,Bhogipura,,2,पुनीत अपार्टमेन्ट भोगीपुरा
भोगलपुरा,Bhogalpura,,1,भोगलपुरा
भिलावटी,Bhilavati,,10,भिलावटी
भिलावली,Bhilavali,,19,"ऊँटगिर, भिलावली"
भिड़ावली,Bhidavali,,8,"थपेड़ा, भिड़ावली"
भीतरी,Bheetari,,1,भीतरी
भीमा,Bheema,,3,गढी भीमा
भीम,Bheem,,7,गढी भीमा
भीकनपुर,Bheekanpur,,6,भीकनपुर
भवनपुरा,Bhavanpura,,5,"जगनेर, भवनपुरा"
भरतियाका,Bhartiyaka,,1,भरतियाका
भरतिया,Bhartiya,,13,"झरौठा, भरतिया"
भरतार,Bhartar,,1,भरतार
भरनाकलां,Bharnakala,y,6,भरनाकलां
भरऊगढ़,Bharaugadh,y,6,"नगला भरऊ, भरऊगढ़"
भरापुर,Bharapur,,1,भरापुर
भारा,Bhara,,8,"कठूमरी, भारा"
भनपुरा,Bhanpura,,4,पट्टी भनपुरा
भांकर,Bhankar,,12,"अयेला, भांकर"
भंगीपाडा,Bhangipada,,1,भंगीपाडा
भांडई,Bhandee,y,1,भांडई
भलोखरा,Bhalokhara,,1,भलोखरा
